cleaned_reviewText,sentiment
purchased two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meets needs,positive
advertised specs match long device using handle usb crapple bs delivers advertised speed speed read write knew right,positive
item great ca believe small imagine size back whole buildings full computers could pack much space great item,positive
trying get hold micro sd phone tablet pretty fast compared cards using really saw performance boost phone many apps pictures music documents phone boots fully stable mins apposed mins computer also write cards much faster ones using phone tablet device support recommend purchase also pay like half price using amazon opposed retail stores price least double seen cards going area,positive
bought sandisk gb microsd used galaxy note galaxy one phone started saying removed recognize diedi thought luck plugged one stayed months died suddenly lost everythingnever buying sandisk ever,negative
memory card excellent condition work described dependable easy use excellent choice enthusiast requires storage,positive
got couple varying sizes problems complaints speed always end buying prices low get,positive
gigs memory note running room much memory space available know,positive
bought surface pro months problems fast stable,positive
would recommend card transfer speeds excellent card galaxy need format card anything satisfied,positive
bougth micro sd card trubles got kingston tell sandisk quality best phone read fast dta transfer speed pc amazing looking additional storage phone music pictures type files good quality materials speedupdate one year memory damaged delete put new files format memory tried format phone pc camera nothing like cd data memory available read move delete bought memory used backup data android device readable memory write data hope sandisk make better products future total disagree buy samsung memory card expected better quality,negative
using contout gps camera waste time buying brand waste buy best start,positive
fantastic little drive gigabytes says works ways discern use hold flac recordings play excellent fiio digital audio player real thing one fakes evidently,positive
happy micro sd could tell difference response time bb curve well asus tablet want something transfer files photos videos music faster micro sd card say faster cards price trick devices professional photographer might want go ultra micro sd everyday user work wonders device,positive
purchased several little babies years always buy sandisk never one fail price great amount storage get,positive
ordered galaxy lasted months broke accessible several different limited lifetime warranty bs one month eco zone lose pictures crappy return future buying kingston amazon customer service made good refunded purchase price still buying sandisk memory cards however,negative
like note using sandisk app bit faster note ii still disappointment devices quad core processors sure card device benefit doubt four stars,positive
much say plug play good quality fits lot video good good good,positive
new camcorder required fast sd micro sandisk products always provided first class service extra cost well worth,positive
tiny marvel claims possible problem small may lose happen drop handling gb capacity wo handling often,positive
job price right came quickly happy purchase would recommend would,positive
used months phone decided quit mounting lost pictures pets died shortly got replacement card send old one giving chance recovering contents new one worked fine failing months inexcusable,negative
memory card either works always going one star five star review middle adapter nice bonus though think anything use,positive
purchased card use works great put card camera format good go allows easily record hours video without running space slowing,positive
upgraded card galaxy note phone looks like works fine full capacity good product,positive
everything great except adapter tight use tool take back adapter causing chip fault guess also bought version adapter one fine,positive
liked first one purchased much bought second one fast read write speeds good price plus sandisk best software device compatibility forget thumb drives flexible durable option use direct tablet smart phone buy decent usb card reader load voila instant upgradeable thumb drive works great tablet newer card reader still kicks butt every thumb drive know even used old plastic usb card reader held together scotch tape lol purchased several microsd cards since first came still work fine say thumb drives purchased time point beware counterfeits samsung number one brand unfortunately get counterfeited lot check reviews buy reliable seller suggest buying direct amazon memory mogul purchased issues,positive
really ca say anything bad says super fast great storage size lots movies,positive
used phone plenty fast works like unexpectedly comes mini full sd card size adapters nice packaging whatever laughable packaging decent bragged impossible mess messed,positive
standard micro sd card would recommend anyone purchased dad using expand memory tablet shipped fast slight bit cheaper stores believe,positive
ordered new samsung galaxy note ii works awesome installed problems loaded music even scratch surface capacity card ever worry running outta room card highly recommended smartphone user,positive
great deal much faster file worth purchase sandisk proved good products,positive
pay anywhere else initially leery buying another sd card amazon years ago card fake said gigs plugged computer could load onto would say apparently way fool computer thinking space cards one real deal genuine sandisk contains many gb says pleased customer,positive
use samsung galaxy almost year problems really expands memory capabilities easy enough install,positive
storage new asus tablet love ca imagine paying model upgraded storage especially since usually like thing cheap works great,positive
excellent quality excellent speed complaints easy use reliable red stripe front makes easy find crowded desk,positive
card advertises actually means go necessary bad false advertising,neutral
purchase hp tablet memory music download pictures video enough room store memory left,positive
anything wrong sandisk product items read sooooo quickly quite happy,positive
lot people want big memory fine need look speed class one class great taking pictures video freeze move fast enough lesser speed cards freeze say waiting camera miss moment also sandisk name trust come memory cards,positive
fast transfer rates downloaded videos form card laptop card reader minute,positive
something said sandisk plug works never one doa memory issues throughout years camera storage products installed galaxy siii recognized right away able dump music onto speed seems great well complaints,positive
praise extra memory fills player every song heart desires sound quality perfect ease use superb great,positive
though states available know happens expected keep mind wanting storage might want order card exactly expected needed complaints,positive
job need extra memory whatever device bext buy,positive
needed cell phone works perfectly sandisk never disappointment plus years work,positive
priced right memory card also reads writes fast noticeable difference cheaper cards put phone plan buy another one tablet,positive
works great sprint htc evo lte formatted course maximum file size meaning full length hidef movies however problem bought card putting music library class cards closer class card ever tried kingston card wait till cards become available affordable,positive
update gb card stopped allowing writes via windows pc either inside several sd card adapters tab either position plugged directly microsd slot reader microsd cards tab quite surprised worried failing find workable solution searching online finally put chromebook created new folder stuck back windows pc longer gave error anyone similar problem recommend something similar putting pc laptop camera etc available try writing portion review necessarily written update original review gb version card since amazon disallows multiple reviews consider item portion concerns gb version card need fast card speeds card important besides test pc exactly therefore count speed results got using usb card adapter thought might relevant readers card reach requirements came claimed read speeds fast file transfer running second pc using different usb card reader none speeds even hit seems highly got card week far works select devices operating systems devices panasonic allow cards larger gb whatever reason stated manual confirmed card recognized device whereas gb exfat cards work fine gb works fine original exfat formatting toshiba excite android tablet predictably galaxy note though possibly would reformatted since gb card works fine update review reflect problems issues etc notice coming days c hiyohiyocrystal dew world url removed per amazon rules sequential read write read write read iops random write iops random read iops random write iops test mb g gb date windows xp professional build following original review gb version card published april card used variety devices multiple readers different pcs hd camcorder using micro sd adapter never problem even works full capacity devices reformatted sandisk flac player supposedly even psps via proper adapter though yet tested psp keep anticipating someone coming card equal better capacity speeds comparable price seen one yet cheaper several sure device handle micro sdxc cards one rare gems state support high sdhc tested work sdxc cards one manually reformatted,positive
works great phone wife loves got second mom storing lots pictures videos,positive
loaded card home movies samsung galaxy tab copy process computer card fast skips movie quality plenty room left go wish bought another collections,positive
bought loaded seasons futurama full length hd movies several documentaries dozen minute comedy shows plenty room left pictures etc slight nitpick booting recovery mode recognize card wanted update phone latest version android would see resort microsd laying around sd card issue thought would throw,positive
purchased wife bought samsung galaxy store music pictures videos camera capable capturing photos microsd suffice matter fact already exhausted remaining space card allow take photos son,positive
great storage failed yet year usage,positive
since wife using causing problems must functioning normally looks good far,positive
class speeds way fly usable space think good,positive
subject says supposed great price sale buy,positive
lot questions memory card fitting samsung galaxy tab tablet fits works problem thing installing instead showing available shows formatting card idea limit set galaxy tab tablet normal buy get less surely problem coming sandisk memory card rating excellent price works great quick delivery,positive
comes kind flash storage sandisk always go brand sell quality items stand problem usual complaints works descried issues read write speeds right specs say,positive
high speed high capacity storage great durability use phone digital camera work good,positive
memory helps keep want keep cell good brand right price,positive
bought sd card android phone thinking class faster reliable others turns difference class really matter least android phones really worth price difference,positive
sandisk micro sd class reliable sd card amazing transfer speeds noticeable lag transfering even largest raw images problem,positive
good card work describes issue going pass metal detectors lost files missing files,positive
bought store music phone works flawlessly three months far card reader average megabytes read write,positive
amazed ordered amazon tuesday morning arrived wednesday mail impressive service amazon already reported card formats gb performs perfectly samsung galaxy iii also new using two card readers fast pc transferred everything old card new gb card less time took walk kitchen get cup coffee think class rating correct experience card phone benchmark card also benchmark operations internally backing android phone card update review accurate numerical data mean time first look person said problems anything faster class may correct full backup phone card significantly faster backup old class card benchmarks yet include happy card really impressed card unbelievably quick service amazon atlanta shipments like one often take full days arrive,positive
excellent one best ca go wrong card class necessary shows noticeable significant improvements class,positive
bought microsd card best buy needed one microsoft surface pro provides space need people need lot space videos quick books picture editing games etc card one need much space consider buying one cheaper little less aware microsdxc format card new computers support format many older computers includes tablets smartphones buying make sure computer tablet smartphone compatible work period others claim card work matter try chances machine support microsdxc format,positive
got could pass deal incredibly fast htc sensation pictures taken saved instantaneously days happy shipping fast packaging easy open always great book issue format computer first phone able recognize,positive
get lot storage small price micro sd adapter class fast happy purchase hope review helpful,positive
ultra micro sdhc fine got working neither packaging sansa clip player inform user player needs totally microcard inserted unit read card otherwise love storage even gb let alone tremendous,positive
upgraded price dropped originally sandisk card mytouch found toward mytouch end life space running low got galaxy bought card works flawlessly highly recommend errors ever super fast transfer rate,positive
item priced right fit right cell phone without issues suppose know else could say class suppose plenty fast cell phone use sure speeds camera use degree worked well shipping fast,positive
got memory card samsung galaxy running room sandisk class micro sd card also wanted faster durable card hopping put lots media addition nandroid backups custom roms later found since card formatted would work make nandroid backups flash custom roms custom recovery custom roms dont work choice format card fat meant could put files larger besides card great reasonable price one root phone put custom roms nandroid backups put files larger affect memory card fast provides storage put mobile device time card also water proof shock proof comes lifetime warranty ive never issues sandisk memory cards usb flash drives last really long time,positive
using included adaptor macbook pro transfer files impressed speed card,positive
got store movies music samsung note much say memory card except works expected,positive
purchased version expand memory android tablet nothing fancy job problems played back flawlessly files many different microsd cards see sale might want consider instead cheaper brand,positive
ordered sd cards one best overall shipping excellent fast reliable would recommend anyone looking quality product thanks,positive
use phone works totally worth money great place store pictures music phones instead using phone memory still run fast,positive
bought two one asus infinity one samsung galaxy international version worked fine asus work phone formatted card using phone tablet laptop work tests apps using apps nothing showed working way got work formatting canon slr camera,positive
works actual speeds even class marketed sandisk basic sandisk ultra unless mean ultra slow excuse slow card sandisk update redone test notepro instead using non pc latest results since read speed hits believe device ready still underwhelmed write speed though,negative
sandisk ultra gb microsdhc memory card adapter sandisk ultra gb microsdhc memory card adapter works fine,positive
great adding ton storage smartphone device fast enough needs price right,positive
ca possibly go wrong san disc product although purchased son used san disc past never disappointed,positive
job fairly cheap worth return first one exchange another first one defective sandisk really needs better quality assurance products second one works perfectly fine use gopro camera,neutral
bought son tablet cartoon videos movies games downloading yrs small simple games,positive
bought friend mine put videos initially plugged computer could find storage directory however finding micro sd usb adapter bingo worked like charm install videos plugged card phone sure needed adapter could get computer recognize also used linux go figure,positive
sandisk ultra micro card great addition maximize samsung galaxy iiis whatever version got fast memory great price plenty space pictures videos android applications good videos galaxy iiis use super fast got advanced smartphone market memory get right price,positive
installed samsung tablet tab definitely performance difference tablet especially load apps,positive
memory works samsung smartphones fast memorysandisk reliable memories market,positive
love good quality good performance great brand could find better product money using samsung galaxy mini zero complications,positive
product arrived two days prime exactly ordered works great galaxy know class exactly needed cell phone hurt right happy purchase,positive
expanded samsung tab tablet works fast see lags store ten movies tab play right flash disc happy card,positive
update providing update regard sandisk bought memory card aug see original review may cruise alaska card went bad sailing san francisco fine used take panorama shot golden gate bridge cruise using dslr next time wanted use cell phone phone told memory card loaded way tested card laptop got back could recognize contacted sandisk via email provide copy receipt amazon along serial number back card hard read problems told send back card sent brand new card still functioning cell phone great support provide sandisk hassle long provide proof purchase easy since amazon keeps entire purchase online one reason buy directly amazon vs vendors either amazon elsewhere internet confidence memory cards sold amazon genuine may incredible deals elsewhere internet cases deals good true counterfeit cards review received today removed packaging inserted samsung galaxy verizon powered unit back storage available formatting required worked first time settings showed total space version free space like fact sd adapter came ever need insert card laptop come handy yes plug phone directly laptop ever swap card phone replace version use version via adapter purposes,positive
still feel fast phone guess need remove run tests still ok,neutral
bought version card use gopro hero black edition work card worked ok camera set resolution lower bit rates worked fine protune protune however protune bitrate shy mode much higher protune turned nothing trouble camera would sometime work sometime randomly stop recording obvious reason first suspected camera testing different sd cards ended sandisk card fault spare card old cheap pny also class worked fine conditions camera obvious problem card found people gopro forums trouble specific card well well always find figure right anyhow speed tests card simple write file full zeros using unix dd utility copy zeros else would find many zeros onto file card result average sandisk card would manage barely bar class card however average write test speed oscillating many spikes drops drops low uh thought write speed class card never dip comparison old cheap class pny card chugging along constant test spikes drops card probably work fine devices bitrates recording video often low enough camera might huge buffer want use record video high bitrates device huge buffer compensate speed bumps card may run trouble wary using modes higher bit rates protune enabled website lists part numbers adapter without adapter conflicts product description amazon likely amazon getting product description right bit common thing interesting note update apr numbers testing card test extremely simple write zeros onto card using standard unix dd command read blocks zeroes special device write onto card dd displays transfer stats finishes dd running run iostat second terminal displaying second interval stats measure current speed done mac dd command line used repeat test linux system however iostat command different linux would need modified slightly choose block size seems device drivers merges sequential writes anyhow using different block sizes results dd records records bytes transferred secs good right wrong iostat running parallel dd command recorded iostat tps dd finishes writing zeros card imo last column never dip card labeled comparison test run samsung pro card dd records records bytes transferred secs iostat tps dd finishes writing zeros card samsung average faster importantly speed much constant critically important never dips,negative
else say sandisk ultra gb micro sd xc perfect sandisk cards,positive
,positive
husband bought gopro used record vacation mexico still half space left,positive
item using months records hd videos gopro without problems,positive
third purchase working fine far installed smart phone cameras even used portable storage device noticed issues good product,positive
love little guy super fast lot space storage plug enjoy,positive
bought gopro camera silver edition without problems fast pleasantly surprised good quality memory card adapter turn laptop directly,positive
great addition smart phone huge capacity store data also pretty fast record video lag recording,positive
micro sd card well made great read write speeds added gray amount memory samsung galaxy really recommend,positive
bought item use gopro hero sell gopro website lot cheaper amazon yet problems card,positive
works perfectly fair price immediately recognized device use good purchase,positive
needs little formatting yet see sandisk fail cut corners almost every brand sd cards fail except tried numerous brands devices remember takes bit devices buffer information sd card static corrupt sd card usually easily fixed formatting always back documents soon create playlists slideshows etc devices remove sd card device smart enough put sd card back end blank playlists even though songs watch lastly sd card work whatever reason google sd card formatting help versions seem formatting issues like ones even formatting fixes,positive
sandisk company trust offering good product low adapter small case get full sd card size keep getting lost use,positive
appears class holds much says came sd card adapter even gave option forgo ridiculous plastic packages know hate ones scissors refuse cut end hurting times getting open completely advertised,positive
bought card gopro worked fine people said problems cards new gopros problems micro card works anything also takes standard cards due included adapter,positive
always good experiences sandisk products priced well installed wife cell phone immediately recognized quite sure features chip supposed amount memory good deal extra features,positive
comes nice little adapter microsdhc use normal size sd card also pretty price pretty reasonable class fast hd video recording dslr bought use gopro taking picture videos working great give anycorrupted files videos pictures yet working pretty good pretty reliable brand wo able go wrong,positive
great value plenty storage phone tablet looked around really good deal,positive
shipped fast worked really well use case take lot photos loads fast,positive
old sandisk sd card still works thought new cards would reliable microsd card failed yesterday inside phone used adapter connect computer would bought directly amazon third party vendor know genuine sandisk,negative
best price anywhere,positive
bought memory card samsung note amis really happy recommending product pleased,positive
shipping fast product great quality great like manufacture going order space,positive
far good bought samsung micro sd card bestbuy somehow erasedeverything second one hopefully keeps stuff,positive
still gb left came hard case fore protection,positive
using sd card samsung galaxy instead another one bought manufacture sandisk gb mobile microsdhc flash memory card http psc working perfectly since october,positive
used galaxy note past months sudden longer writable tried many ways reformat card even windows says format successful files remain remove card since private files card able delete want sent back sandisk replacement,negative
usual sandisk quality worked expected delivered time problems worked great android samsung tablet,positive
put lumix camera works fast great complaints never issues highly recommended brand always comes,positive
great product enough capacity delivers performance happy product samsung galaxy phone,positive
got ca beat price sandisk far always reliable two cards older class class etc sandisk microsds including standard sds usb thumb drives stood tests one card think failing still able recover data write anymore pretty hard rewritable media say,positive
great memory card using along works great fast transfer rate good capacity reasonable price else could ask,positive
go wrong sandisk date works advertised price great cost savings came amazon great reputation date far concerned purchased,positive
awesome card glad able use dslr,positive
great storage size first adopter came thought sale price excellent got duped price since first introduced great action cam battery ran ran memory,positive
problem storage speed difficulties insert card kingston reader http believ due sticker covering something one sides microsd kind problem reader,positive
replaced one crapped tablet taking apps hours time,positive
bought gift hubby seems quite well happy given issues certainly uses lot smartphone since techie lol,positive
exactly needed galaxy word warning kitkat prevents apps editing changing deleting anything sd card stock apps come phone downloaded ones able trick pics movies whatever copy phones internal storage delete fix come non root work around operating system,positive
worked great galaxy work unknown reason used months crapped back data things though,neutral
use cameras traveling gb take bunch accessories also use cell phones,positive
enough storage low price class use several make linux based ssd,positive
handy good size even though many devices claim support gb card many actually support like sandisk brand always trust saying dont lemon happened everything,positive
bought raspberry pi large enough run full lamp server price speed good bargain,positive
good thanks sandisk must gopro cam get benefit cam yap,positive
use raspberry pi sd adapter works appeared genuine part although prolific sandisk counterfeiters gotten really sneaky recent like getting microsdhc cards adapted different device sizes example let say buy used phone needs memory card using pi take pi card take adapter put device rather pay money wait week delivery new one,positive
popped moved apps card works great video handled quickly apps start fast,positive
great buy work fine use everyday cell phone adapter great moving files computer cell phone buy opportunity presents,positive
oh waited works samsung galaxyworks note samsungexcellent transfer rates close rated speeds achieved using make music collection truly portable nice carry devices anymore hope review helps,positive
micro sd card perfect smartphone user looking expand storage device personally using one samsung galaxy note works like charm adequately fast cheap fairly reliable looking extremely fast speeds however consider sandisk extreme series fastest microsd cards world card came adapter card plugs becomes full sized sd card looking use camera device uses sd cards please look elsewhere cards nearly fast full sized sd cards used cameras adapter used transporting data phone device computer great buy smartphone user looking higher storage capacity price fluctuates often catch em cheep got mine around,positive
bought august april card stopped functioning still read writing capability gone less one year extremely disappointed longevity card usage galaxy data guess going look another card longer lifespan one,negative
would get anything less instantaneous movies video music pictures android phone capable accepting micro sd cards go ahead get one two,positive
originally bought card new price seemed good day took lot pictures mysteriously vanished since good experiences sandisk past immediately found card happy sale time bought absolutely problems expect continue working long time knock wood bottom linethis quality product buy cards without respectable brand name,positive
routinely use sdxc cards card unreadable arrival pcs said needed formatted last resort let one try windows sdxc drivers could format way back amazon glad returns easy,negative
always good else say,positive
works expected based price performance may best breed product found sandisk brand dependable,positive
memory card fast card sandisk units rarely lose data wish guys would keep marketing backside leaving white space top could write things big guys idiots,positive
product large disappointment bought use tablet card forever getting corrupted reformatted card times point even reformat work wasted money recommend purchasing,negative
first card ordered bad tablet computer would write would read amazon replaced immediately new card perfect reads writes fast much faster hc phone glad got hc tablet,positive
purchased could get work discovered sandisk app stressing working android device worries go get app work,positive
usual anything san dish quality product bought use surface pro works described fast connection,positive
purchased happy good transfer rates found last sd card caused camera phone delay taking shots one allows phone take pic quickly,positive
bought wife samsung kept locking lesser speed sd card throwing card camera rarely locks taking pictures shooting mp taking pictures shooting hd vid good idea upgrade class card,positive
samsung galaxy note came gigs internal memory discovered apps written internal gigs memory want fill internal memory pictures videos music etc purchased gb san disk ultra microsdxc class card found video youtube learn insert card since could find nothing phone user guide real easy turn note phone remove note back plate see plaque saying sd card upper left quadrant phone simply place microsd card face metallic pins facing towards right depressed slot area left sd card plaque slowly gently slide microsd card plaque clicks correctly tend move back plaque force replace back plate phone turn phone go settings storage bottom page see sd card microsd card inserted correctly see additional gbs storage displayed also see reformat sd card remove sd card use settings erase data microsd card remove phone try remove microsd card phone without first activating remove sd card setting damage card phone card came quickly san disk reliable brand great class rating,positive
delivered fast installed quick works like reasonable price wish could get memory note much media,positive
absolutely great product recommend great price used note note phone download lot music movies must,positive
fast memory card room spare amazing price suitable lots smart phone movies fastest storage available today imho,positive
arrived quickly perfect condition works well camera using standard size adapter readable note seems quick enough canon would recommend,positive
big card lot faster card came phone allows switch video take pics faster going get cloud storage program think getting couple big cards instead makes downloading accessing chunks data lot easier,positive
bought memory smartphone far supposed remember save,positive
bought one phone bought wife got one seem work kill us cheaper per gig smaller gig chips,positive
bought samsung note ed give plenty data storage using note quick picture editing,positive
bought new samsung galaxy worked right away troubles time tell,positive
bought memory card spare samsung tab works great allows bring extra movies songs audiobooks play tablet travel vacations,positive
bought add storage sansa fuze card formatted correctly works quite smoothly also tried using adapter kodak digital camera recognized instantly pictures saved quickly allowing camera shoot without undue delay,positive
bought use inch onda tablet problems issues installing using three months would recommend others,positive
ca go wrong class card cheap works great may buy another one spare,positive
fast reliable plenty size money ran sandisk memory zone reading mbps quite supposedly rated lot apps installed running device,positive
good memory card gift given junior partner receiving beautiful beautiful packaging received big surprise know evaluate,positive
good value money class ten rated card fast speed good manufacturer,positive
got note great able pop computer via adapter load large amounts pictures back tablet kinda wishing got larger capacity one,positive
got galxy another brand phone kept losing contact corrupted files much faster transfers got version note always shipping amazon prime,positive
great micro sd card smartphones products wanted something high transfer rate taking hd video would lag,positive
great price sd card delivered time got download previous sc card problems great shopping electronic stuff amazon,positive
great price great chip worked perfectly new smart phone swapped gig chip one lots excess storage capacity,positive
great value extra storage cell phones adapter included memory disk allows easy interface standard computer card reader interfaces,positive
return item would fit properly adapter came return problem reluctant buy another one,negative
able use capacity bought tablet pro used usb adapter works well,positive
action cam works great far ca wait zip line tour expensive would think size memory card,positive
used sandisk photography course went time outfit new samsung galaxy internal microsd card spent extra bucks comparably name micro sd cards bought variant took quite pictures even transferred album computer coud show friends less two months sandisk microsd card started acting recognized stopped restarted removed reinstalled onto phone erratic behavior taken immediately tried recover anything could things hit fan unfortunately waited long morning reason turned phone card shows blank neither windows pc mac even detect card yes tried two different adapters tried sandisk recovery found recoverable files even though checked file type apparently lost pictures top gf cheap name card never issue exact phone keeps chugging along premium substandard product fails use two months thanks going back lexar failed yet also getting rid sandisk cards dslr case fact sandisk first card thats ever failed new card boot inspire confidence buy use risk,negative
disappointed card usually issue sandisk ultra card died two months died longer recognizable pc camera device wrestle warranty claim,negative
bought great price capacity rated speed use storage nook,positive
bought card android based phone soon started getting messages card removed damaged tried tablet thing first card brand bought experienced problem went several online forums see solution someone hit upon might problem brand bought pny brand micro sd card problem whatsoever,negative
bought card strength xdsc sandisk phone right gift friend mine sadly corrupted within minutes first worked fine dead checked laptop windows disk management screen told single partition rest unusable replacement sent amazon thank amazon always excellent sitting office right probably check,negative
bought samsung galaxy expand memory best money could spent issues works fast shipping great packaging worth every penny,positive
bought expand memory galaxy inexpensive easily install comes adapter make full sized sd card sandisk ultra top list,positive
issue using devices still working strong trust sandisk gear including memory dslr use malfunctioned throughout many different uses trust brand although expensive supposed brands worth extra opinion,positive
lot music pictures keeping card frees storage apps use card money well spent,positive
always trusted sandisk brand valuable data ordered tablet great size quality price,positive
samsung note ii verge uninstall programs newest version android came allowed move applications external reading reviews purchased card replace card room pictures videos tons apps performance really great tell pictures videos apps load quickly issues must extend android storage,positive
droid x page plus works perfectly transfer speeds good complaints,positive
used many memory devices sandisk well couple sansa players card lives expectations works well samsung galaxy phone bothered adapter doubt job nice case need read card outside phone,positive
used months galaxy issues plenty fast transfer content card,positive
got note great would want another sd card want happy,positive
like things work like things work way sold give great review trust say works wo find faster sd card,positive
love storage unit would buy definitely great pix videos docs whatever want store,positive
happy item android memory card ideal increasing,positive
needed samsung galley tablet job needed really need adapter micro sd cards come,positive
needed get space sd card phone naturally turned product know quality attention details want sure photos data held safe place money beat product buy,positive
initially inserted card samsung galaxy recognized able format correctly research found free program easeus partition master format card fat since windows longer allows default formatting fat phone recognized card works great hope helps anyone else might run problem,positive
situations depending hardware intend use card need format special way using formatting utility come native windows also card gets extremely hot heavy load,positive
installed droid backed data using included card reader adapter card reader slot laptop copied data folder pc done reversed process new micro sd recognized additional memory apps run updates adding card though attribute card seems likely apps referencing something specific hardware updates programs ran one issue poweramp media player playlists dissapeared sure havent yet researched poweramp forums assume issue would occur card upgrade,positive
past bought lots cf sd cards usb keys years ago bought brands randomly failure particularly brand time critters tres chere decided standardize wd never failure except hard drives different topic price per gig less used pay per meg still stick wd using cards long periods time want lose recognize anecdotal may may line consumer reports says others experience mindless fan frequently chant roll wide would get rid packaging,positive
purchased card new nokia lumia smart phone recently purchased extend internal memory card works recommend card anyone wants extend internal memory devise requiring microsd,positive
purchased use samsung tablet works perfectly stores lot information would buy product sandisk knows make memory cards last,positive
received memory card great condition packing pleased put outdoor camera video comings goings wild life works great,positive
stable use product samsung galaxy sometimes tablet recongnize memory problem maybe tablet memory think,positive
almost required piece samsung tablet good buy easy use easy install,positive
class pretty fast using htc evo lte phone hoping capability doesnt seem class,positive
like personal cloud much storage small item came great price easy open package made easy open use right away ended using smartphone screen cracked able back everything remove card put laptop,positive
works expected problems installing anything fits samsung shipped really fast packaging could open without use something sharp,positive
use galaxy note seems work fine love lots memory price good,positive
use samsung galaxy note ii money fantastic value noticed transfer speed issues reliable months owned music stored every app use sd card storage set including system backups ultimate install forget phone,positive
